2011-04-26T18:47:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(56542) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:47:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(39520) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:47:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(51233) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:47:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted tcp inside/192.168.30.30(56091) -> outside/91.189.90.132(80) hit-cnt 1 first hit [0xd273f77c, 0x0]
2011-04-26T18:50:46-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(53216) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:46-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(34639) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:53-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(46263) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:53-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(54689) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:53-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(45268) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:53-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(57971) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(43313) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:50:57-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(45720) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:51:02-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(33096) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:51:02-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(56932) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
2011-04-26T18:52:06-06:00 ant-fw : %ASA-6-106100: access-list inside permitted udp inside/192.168.30.30(48727) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xb820d39, 0x0]
